rule_id,severity,service,resource_type,resource,title,description,remediation,compliance_framework,compliance_control,compliance_status,evidence,detected_at,run_id,status,fingerprint
CT-003,MEDIUM,CloudTrail,cloudtrail-trail,lab-single-region-trail,CloudTrail log file validation is disabled,"Log file validation is disabled for trail 'lab-single-region-trail', so CloudTrail is not producing the signed digest files needed to prove that delivered logs have not been modified or deleted.",Enable log file validation on the trail (update-trail --enable-log-file-validation).,CIS Amazon Web Services Foundations Benchmark v3.0.0,3.2,mapped,"{""log_file_validation_enabled"": false, ""s3_bucket_name"": ""lab-trail-logs"", ""trail"": ""lab-single-region-trail"", ""trail_arn"": ""arn:aws:cloudtrail:us-east-1:123456789012:trail/lab-single-region-trail""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,a04c6a6a1aedb3a7
IAM-002,MEDIUM,IAM,iam-access-key,user:lab-svc-rotating/AKIA…ESHD,Active IAM access key exceeds maximum age,"Access key AKIA…ESHD for user 'lab-svc-rotating' is 120 days old, above the configured rotation threshold of 90 days. Key age is credential metadata; it does not by itself indicate that the key has been used or compromised.","Create a replacement key, migrate dependent workloads, then deactivate and delete the superseded key. Prefer IAM roles or IAM Identity Center over long-lived user keys where the workload allows it.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.14,mapped,"{""access_key_id"": ""AKIA\u2026ESHD"", ""age_days"": 120, ""created"": ""2026-05-27T01:52:15+00:00"", ""escalation_threshold_days"": 180, ""last_used_date"": ""2026-09-19T01:52:15+00:00"", ""last_used_days_ago"": 5, ""last_used_service"": ""s3"", ""status"": ""Active"", ""threshold_days"": 90, ""username"": ""lab-svc-rotating""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,5b6e6b0b12493e7f
IAM-003,MEDIUM,IAM,iam-access-key,user:lab-svc-stale-keys/AKIA…UDGX,Dormant IAM access key remains active,"Active access key AKIA…UDGX for user 'lab-svc-stale-keys' has never been used in 400 days since creation (GetAccessKeyLastUsed reports no last-used date), at or beyond the 45-day dormancy threshold. An unused credential retains the full permissions of its user while producing no activity that would make its misuse noticeable.","Delete the key. If the workload may still need it, deactivate it first and delete it once a full billing cycle passes with no access failures.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.12,mapped,"{""access_key_id"": ""AKIA\u2026UDGX"", ""age_days"": 400, ""created"": ""2025-08-20T01:52:15+00:00"", ""dormancy_threshold_days"": 45, ""ever_used"": false, ""last_used_date"": null, ""last_used_days_ago"": null, ""last_used_service"": null, ""status"": ""Active"", ""username"": ""lab-svc-stale-keys""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,f8463f9a1fff3061
S3-001,MEDIUM,S3,s3-bucket,lab-latent-acl,S3 Public Access Block is not fully enabled,"Bucket 'lab-latent-acl' has Public Access Block settings disabled: BlockPublicAcls, BlockPublicPolicy, RestrictPublicBuckets. This does not by itself mean the bucket is public; it means a public ACL or bucket policy would not be blocked if one were applied.","Enable all four Block Public Access settings on the bucket, and enable the account-level block, unless the bucket is intentionally serving public content.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""bucket"": ""lab-latent-acl"", ""disabled_settings"": [""BlockPublicAcls"", ""BlockPublicPolicy"", ""RestrictPublicBuckets""], ""public_access_block_configured"": true, ""settings"": {""BlockPublicAcls"": false, ""BlockPublicPolicy"": false, ""IgnorePublicAcls"": true, ""RestrictPublicBuckets"": false}}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,502980816617fa7a
S3-001,MEDIUM,S3,s3-bucket,lab-partner-share,S3 Public Access Block is not fully enabled,"Bucket 'lab-partner-share' has Public Access Block settings disabled: BlockPublicAcls, IgnorePublicAcls, BlockPublicPolicy, RestrictPublicBuckets. This does not by itself mean the bucket is public; it means a public ACL or bucket policy would not be blocked if one were applied.","Enable all four Block Public Access settings on the bucket, and enable the account-level block, unless the bucket is intentionally serving public content.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""bucket"": ""lab-partner-share"", ""disabled_settings"": [""BlockPublicAcls"", ""IgnorePublicAcls"", ""BlockPublicPolicy"", ""RestrictPublicBuckets""], ""public_access_block_configured"": true, ""settings"": {""BlockPublicAcls"": false, ""BlockPublicPolicy"": false, ""IgnorePublicAcls"": false, ""RestrictPublicBuckets"": false}}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,af407a1721986a8d
S3-001,MEDIUM,S3,s3-bucket,lab-public-assets,S3 Public Access Block is not fully enabled,"Bucket 'lab-public-assets' has no Public Access Block configuration, so all four protections are off. This does not by itself mean the bucket is public; it means a public ACL or bucket policy would not be blocked if one were applied.","Enable all four Block Public Access settings on the bucket, and enable the account-level block, unless the bucket is intentionally serving public content.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""bucket"": ""lab-public-assets"", ""disabled_settings"": [""BlockPublicAcls"", ""IgnorePublicAcls"", ""BlockPublicPolicy"", ""RestrictPublicBuckets""], ""public_access_block_configured"": false, ""settings"": {""BlockPublicAcls"": false, ""BlockPublicPolicy"": false, ""IgnorePublicAcls"": false, ""RestrictPublicBuckets"": false}}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,80794581a39ae70d
S3-001,MEDIUM,S3,s3-bucket,lab-tls-only-public,S3 Public Access Block is not fully enabled,"Bucket 'lab-tls-only-public' has Public Access Block settings disabled: BlockPublicAcls, IgnorePublicAcls, BlockPublicPolicy, RestrictPublicBuckets. This does not by itself mean the bucket is public; it means a public ACL or bucket policy would not be blocked if one were applied.","Enable all four Block Public Access settings on the bucket, and enable the account-level block, unless the bucket is intentionally serving public content.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""bucket"": ""lab-tls-only-public"", ""disabled_settings"": [""BlockPublicAcls"", ""IgnorePublicAcls"", ""BlockPublicPolicy"", ""RestrictPublicBuckets""], ""public_access_block_configured"": true, ""settings"": {""BlockPublicAcls"": false, ""BlockPublicPolicy"": false, ""IgnorePublicAcls"": false, ""RestrictPublicBuckets"": false}}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,af88cf69cb7e0d1d
S3-003,MEDIUM,S3,s3-bucket,lab-partner-share,Bucket policy grants access to a public principal,"The bucket policy on 'lab-partner-share' contains an Allow statement with an anonymous principal. Every public statement carries a narrowing condition (aws:sourceip), so access may be limited to a specific network or organisation. The condition needs manual review; a scanner cannot tell whether the named range is trusted.","Scope the Principal to specific account or role ARNs. If the bucket must serve public content, front it with CloudFront and an origin access control rather than a public bucket policy.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""block_public_policy"": false, ""bucket"": ""lab-partner-share"", ""get_bucket_policy_status_is_public"": null, ""public_access_block_known"": true, ""restrict_public_buckets"": false, ""statements"": [{""actions"": [""s3:GetObject""], ""condition_keys"": [""aws:sourceip""], ""constraining_condition_keys"": [""aws:sourceip""], ""has_condition"": true, ""is_effectively_constrained"": true, ""principal_form"": ""*"", ""resources"": [""arn:aws:s3:::lab-partner-share/*""], ""sid"": ""PublicReadFromOfficeRange""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,392a5a1a97f743bb
S3-004,MEDIUM,S3,s3-bucket,lab-public-assets,No explicit bucket-level encryption configuration observed,"GetBucketEncryption returned no bucket-level default encryption configuration for 'lab-public-assets'. Amazon S3 has applied SSE-S3 to new objects by default since January 2023, so this records the absence of an explicit, auditable configuration rather than asserting that stored objects are unencrypted.","Set an explicit default encryption configuration (SSE-S3, or SSE-KMS with a customer-managed key where key-level access control or auditing is required).",CIS Amazon Web Services Foundations Benchmark v3.0.0,,partial,"{""bucket"": ""lab-public-assets"", ""encryption_configuration_present"": false}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,48efd50bc2de0656
S3-004,MEDIUM,S3,s3-bucket,lab-unencrypted-logs,No explicit bucket-level encryption configuration observed,"GetBucketEncryption returned no bucket-level default encryption configuration for 'lab-unencrypted-logs'. Amazon S3 has applied SSE-S3 to new objects by default since January 2023, so this records the absence of an explicit, auditable configuration rather than asserting that stored objects are unencrypted.","Set an explicit default encryption configuration (SSE-S3, or SSE-KMS with a customer-managed key where key-level access control or auditing is required).",CIS Amazon Web Services Foundations Benchmark v3.0.0,,partial,"{""bucket"": ""lab-unencrypted-logs"", ""encryption_configuration_present"": false}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,dca8631dfaacd349
IAM-003,LOW,IAM,iam-access-key,user:lab-contractor-offboarded/AKIA…SWLZ,Inactive IAM access key still present,"Access key AKIA…SWLZ for user 'lab-contractor-offboarded' exists in an Inactive state. It cannot currently authenticate, but it remains credential material that a principal with iam:UpdateAccessKey can re-enable.","Delete the key. If the workload may still need it, deactivate it first and delete it once a full billing cycle passes with no access failures.",CIS Amazon Web Services Foundations Benchmark v3.0.0,1.12,mapped,"{""access_key_id"": ""AKIA\u2026SWLZ"", ""age_days"": 0, ""created"": ""2026-09-24T01:52:15+00:00"", ""last_used_date"": null, ""last_used_days_ago"": null, ""last_used_service"": null, ""status"": ""Inactive"", ""username"": ""lab-contractor-offboarded""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,46e5dd6f046e5c41
S3-002,LOW,S3,s3-bucket,lab-latent-acl,Bucket ACL grants public access (currently ignored by Public Access Block),"The ACL on bucket 'lab-latent-acl' grants READ to the global group(s) AllUsers. IgnorePublicAcls is enabled, so the grants are not currently effective, but they remain in the ACL and become effective the moment that setting is turned off.","Remove the global-group grants from the bucket ACL, then enable Block Public Access so the grant cannot be reintroduced.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""bucket"": ""lab-latent-acl"", ""grants"": [{""display_name"": null, ""group"": ""AllUsers"", ""permission"": ""READ"", ""type"": ""Group"", ""uri"": ""http://acs.amazonaws.com/groups/global/AllUsers""}], ""groups"": [""AllUsers""], ""ignore_public_acls"": true, ""public_access_block_known"": true}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,9975327de5938542
S3-003,LOW,S3,s3-bucket,lab-blocked-public-policy,Bucket policy grants access to a public principal,"The bucket policy on 'lab-blocked-public-policy' contains an Allow statement with an anonymous principal. Public access is currently blocked by the bucket's Public Access Block settings, but the statement remains in the policy and takes effect if those settings are removed.","Scope the Principal to specific account or role ARNs. If the bucket must serve public content, front it with CloudFront and an origin access control rather than a public bucket policy.",CIS Amazon Web Services Foundations Benchmark v3.0.0,2.1.4,mapped,"{""block_public_policy"": true, ""bucket"": ""lab-blocked-public-policy"", ""get_bucket_policy_status_is_public"": null, ""public_access_block_known"": true, ""restrict_public_buckets"": true, ""statements"": [{""actions"": [""s3:GetObject""], ""condition_keys"": [], ""constraining_condition_keys"": [], ""has_condition"": false, ""is_effectively_constrained"": false, ""principal_form"": ""*"", ""resources"": [""arn:aws:s3:::lab-blocked-public-policy/*""], ""sid"": ""PublicRead""}]}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,00b35da017ef5edf
IAM-006,INFO,IAM,iam-user,user:lab-svc-rotating,IAM user without MFA (no console access configured),"IAM user 'lab-svc-rotating' has no console login profile and no MFA device. There is no interactive sign-in path to protect, so this is recorded for inventory completeness rather than as an authentication weakness.",No MFA action is required while the identity remains programmatic-only. Re-evaluate if console access is enabled.,CIS Amazon Web Services Foundations Benchmark v3.0.0,,unmapped,"{""console_access_enabled"": false, ""mfa_device_count"": 0, ""password_last_used"": null, ""user_arn"": ""arn:aws:iam::123456789012:user/lab-svc-rotating"", ""username"": ""lab-svc-rotating""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,5354147507c7370a
IAM-006,INFO,IAM,iam-user,user:lab-svc-stale-keys,IAM user without MFA (no console access configured),"IAM user 'lab-svc-stale-keys' has no console login profile and no MFA device. There is no interactive sign-in path to protect, so this is recorded for inventory completeness rather than as an authentication weakness.",No MFA action is required while the identity remains programmatic-only. Re-evaluate if console access is enabled.,CIS Amazon Web Services Foundations Benchmark v3.0.0,,unmapped,"{""console_access_enabled"": false, ""mfa_device_count"": 0, ""password_last_used"": null, ""user_arn"": ""arn:aws:iam::123456789012:user/lab-svc-stale-keys"", ""username"": ""lab-svc-stale-keys""}",2026-09-24T01:52:15+00:00,misconfigured,OPEN,5325219f9bb74001
